imdb_id,title,original_title,year,runtime_minutes,genres,average_rating,num_votes,imdb_url
tt1839642,The Face of Love,The Face of Love,2013,92.0,Drama,6.2,6232,https://www.imdb.com/title/tt1839642
tt0086961,No End,Bez konca,1985,107.0,Drama,7.3,6229,https://www.imdb.com/title/tt0086961
tt8329290,The Golem,The Golem,2018,95.0,Drama,5.5,6217,https://www.imdb.com/title/tt8329290
tt1754367,Post Tenebras Lux,Post Tenebras Lux,2012,115.0,Drama,6.5,6216,https://www.imdb.com/title/tt1754367
tt3640682,I Smile Back,I Smile Back,2015,85.0,Drama,6.2,6210,https://www.imdb.com/title/tt3640682
tt0098063,Paprika,Paprika,1991,99.0,Drama,5.5,6209,https://www.imdb.com/title/tt0098063
tt1221141,The Headless Woman,La mujer sin cabeza,2008,87.0,Drama,6.6,6202,https://www.imdb.com/title/tt1221141
tt12229370,Mothering Sunday,Mothering Sunday,2021,104.0,Drama,6.1,6200,https://www.imdb.com/title/tt12229370
tt3129564,Diplomacy,Diplomatie,2014,84.0,Drama,7.1,6198,https://www.imdb.com/title/tt3129564
tt0116508,Heaven's Prisoners,Heaven's Prisoners,1996,132.0,Drama,5.8,6188,https://www.imdb.com/title/tt0116508
tt3090670,Advantageous,Advantageous,2015,90.0,Drama,6.0,6186,https://www.imdb.com/title/tt3090670
tt0484090,Alone,Alone,2007,105.0,Drama,6.4,6185,https://www.imdb.com/title/tt0484090
tt5735280,It Stains the Sands Red,It Stains the Sands Red,2016,92.0,Drama,5.5,6185,https://www.imdb.com/title/tt5735280
tt0961066,Everlasting Moments,Maria Larssons eviga ögonblick,2008,131.0,Drama,7.5,6180,https://www.imdb.com/title/tt0961066
tt8884906,Monday,Monday,2020,116.0,Drama,5.7,6169,https://www.imdb.com/title/tt8884906
tt1242618,Deadline,Deadline,2009,85.0,Drama,4.6,6164,https://www.imdb.com/title/tt1242618
tt23664710,Kutch Express,Kutch Express,2023,134.0,Drama,7.0,6160,https://www.imdb.com/title/tt23664710
tt0107002,Germinal,Germinal,1993,160.0,Drama,7.1,6152,https://www.imdb.com/title/tt0107002
tt6214084,Something Useful,Ise Yarar Bir Sey,2017,104.0,Drama,7.6,6144,https://www.imdb.com/title/tt6214084
tt0473333,The Backwoods,Bosque de sombras,2006,97.0,Drama,5.7,6140,https://www.imdb.com/title/tt0473333
tt23865712,Kadak Singh,Kadak Singh,2023,128.0,Drama,6.2,6136,https://www.imdb.com/title/tt23865712
tt0434179,Marebito,Marebito,2004,92.0,Drama,6.0,6134,https://www.imdb.com/title/tt0434179
tt0328802,September 11,11'09''01 - September 11,2002,134.0,Drama,6.8,6132,https://www.imdb.com/title/tt0328802
tt0086231,Sagara Sangamam,Sagara Sangamam,1983,160.0,Drama,8.7,6127,https://www.imdb.com/title/tt0086231
tt0102753,Rambling Rose,Rambling Rose,1991,112.0,Drama,6.5,6124,https://www.imdb.com/title/tt0102753
tt5510934,The Unnamed,Oggatonama,2016,100.0,Drama,8.9,6123,https://www.imdb.com/title/tt5510934
tt4922674,Parallel,Parallel,2018,104.0,Drama,5.9,6120,https://www.imdb.com/title/tt4922674
tt7112154,Asako I & II,Nete mo samete mo,2018,119.0,Drama,7.1,6113,https://www.imdb.com/title/tt7112154
tt1613040,Leader,Leader,2010,167.0,Drama,8.0,6113,https://www.imdb.com/title/tt1613040
tt19704542,Sidelined: The QB and Me,Sidelined: The QB and Me,2024,99.0,Drama,5.8,6110,https://www.imdb.com/title/tt19704542
tt1801061,Me and You,Io e te,2012,103.0,Drama,6.5,6109,https://www.imdb.com/title/tt1801061
tt7807026,Your Son,Tu hijo,2018,103.0,Drama,6.1,6109,https://www.imdb.com/title/tt7807026
tt13391708,The Five Devils,Les Cinq Diables,2022,103.0,Drama,6.7,6108,https://www.imdb.com/title/tt13391708
tt0091647,Nomads,Nomads,1986,91.0,Drama,5.2,6102,https://www.imdb.com/title/tt0091647
tt0086655,One Deadly Summer,L'été meurtrier,1983,133.0,Drama,7.2,6095,https://www.imdb.com/title/tt0086655
tt2113075,The Inevitable Defeat of Mister & Pete,The Inevitable Defeat of Mister & Pete,2013,108.0,Drama,7.5,6093,https://www.imdb.com/title/tt2113075
tt0120323,A Thousand Acres,A Thousand Acres,1997,105.0,Drama,6.1,6092,https://www.imdb.com/title/tt0120323
tt14186876,Bring Them Down,Bring Them Down,2024,106.0,Drama,6.4,6091,https://www.imdb.com/title/tt14186876
tt0420291,Keane,Keane,2004,100.0,Drama,6.8,6084,https://www.imdb.com/title/tt0420291
tt26731216,The Forge,The Forge,2024,124.0,Drama,6.8,6079,https://www.imdb.com/title/tt26731216
tt0433350,Boy Culture,Boy Culture,2006,88.0,Drama,6.8,6078,https://www.imdb.com/title/tt0433350
tt2106550,Möbius,Möbius,2013,103.0,Drama,6.2,6078,https://www.imdb.com/title/tt2106550
tt8307082,Sauvage/Wild,Sauvage,2018,99.0,Drama,7.1,6076,https://www.imdb.com/title/tt8307082
